id,created,updated,id_match,id_player
1,2023-05-14,2023-05-14,2,41
2,2023-05-14,2023-05-14,3,24
3,2023-05-14,2023-05-14,3,3
4,2023-05-14,2023-05-14,5,11
5,2023-05-14,2023-05-14,5,33
6,2023-05-14,2023-05-14,6,9
7,2023-05-14,2023-05-14,6,24
8,2023-05-14,2023-05-14,7,7
9,2023-05-14,2023-05-14,8,41
10,2023-05-14,2023-05-14,8,3
11,2023-05-14,2023-05-14,9,24
12,2023-05-14,2023-05-14,10,5
13,2023-05-14,2023-05-14,13,7
14,2023-05-14,2023-05-14,13,28
15,2023-05-14,2023-05-14,13,24
16,2023-05-14,2023-05-14,15,11
17,2023-05-14,2023-05-14,15,7
18,2023-05-14,2023-05-14,16,20
19,2023-05-14,2023-05-14,16,5
20,2023-05-14,2023-05-14,17,5
21,2023-05-14,2023-05-14,18,27
22,2023-05-14,2023-05-14,19,27
23,2023-05-14,2023-05-14,19,41
24,2023-05-14,2023-05-14,20,11
25,2023-05-14,2023-05-14,21,27
26,2023-05-14,2023-05-14,22,5
27,2023-05-14,2023-05-14,23,9
28,2023-05-14,2023-05-14,25,28
29,2023-05-14,2023-05-14,25,20
30,2023-05-14,2023-05-14,25,41
31,2023-05-14,2023-05-14,26,11
32,2023-05-14,2023-05-14,28,33
33,2023-05-14,2023-05-14,28,12
34,2023-05-14,2023-05-14,29,41
35,2023-05-14,2023-05-14,30,3
36,2023-05-14,2023-05-14,31,27
37,2023-05-14,2023-05-14,31,1
38,2023-05-14,2023-05-14,33,28
39,2023-05-14,2023-05-14,33,5
40,2023-05-14,2023-05-14,34,12
41,2023-06-01,2023-06-01,37,11
42,2023-06-01,2023-06-01,38,18
