id,created,updated,id_match,id_player
1,2023-05-14,2023-05-14,4,8
2,2023-05-14,2023-05-14,5,28
3,2023-05-14,2023-05-14,6,9
4,2023-05-14,2023-05-14,8,7
5,2023-05-14,2023-05-14,8,20
6,2023-05-14,2023-05-14,9,20
7,2023-05-14,2023-05-14,9,7
8,2023-05-14,2023-05-14,9,9
9,2023-05-14,2023-05-14,10,41
10,2023-05-14,2023-05-14,12,4
11,2023-05-14,2023-05-14,12,22
12,2023-05-14,2023-05-14,14,22
13,2023-05-14,2023-05-14,16,22
14,2023-05-14,2023-05-14,18,11
15,2023-05-14,2023-05-14,18,7
16,2023-05-14,2023-05-14,20,20
17,2023-05-14,2023-05-14,20,20
18,2023-05-14,2023-05-14,21,11
19,2023-05-14,2023-05-14,22,33
20,2023-05-14,2023-05-14,24,18
21,2023-05-14,2023-05-14,24,18
22,2023-05-14,2023-05-14,24,41
23,2023-05-14,2023-05-14,24,9
24,2023-05-14,2023-05-14,26,22
25,2023-05-14,2023-05-14,27,27
26,2023-05-14,2023-05-14,28,4
27,2023-05-14,2023-05-14,30,22
28,2023-05-14,2023-05-14,30,20
29,2023-05-14,2023-05-14,31,9
30,2023-05-14,2023-05-14,31,11
31,2023-05-14,2023-05-14,31,41
32,2023-05-14,2023-05-14,31,8
33,2023-05-14,2023-05-14,32,11
34,2023-05-14,2023-05-14,33,28
35,2023-05-14,2023-05-14,33,9
36,2023-05-14,2023-05-14,33,27
37,2023-05-14,2023-05-14,35,22
38,2023-06-03,2023-06-03,37,41
39,2023-06-03,2023-06-03,37,20
40,2023-06-03,2023-06-03,37,10
41,2023-06-04,2023-06-04,38,8
